User Name: [huy@gmail.com]After save run  save Time 2021-05-25T23:17:49.518
User Name: [huy@gmail.com]After save run  save Time 2021-05-25T23:19:35.215
User Name: [huy@gmail.com]After save run ContractDetailController save Time 2021-05-26T13:52:37.494
User Name: [linh2@gmail.com]After save run  save Time 2021-05-27T10:39:43.441
User Name: [linh2@gmail.com]After save run delete Time 2021-05-27T10:40:45.713
User Name: [linh2@gmail.com]After save run  save Time 2021-05-27T10:41:02.724
User Name: [huy@gmail.com]After save run delete Time 2021-05-29T15:20:10.255
User Name: [huy@gmail.com]After save run ContractDetailController save Time 2021-05-29T15:21:27.347
User Name: [huy@gmail.com]After save run ContractDetailController save Time 2021-05-29T15:21:33.857
User Name: [huy@gmail.com]After save run ContractDetailController save Time 2021-05-29T15:21:40.584
User Name: [huy@gmail.com]After save run delete Time 2021-05-29T15:22:37.541
User Name: [huy@gmail.com]After save run delete Time 2021-05-29T15:23:46.319
After Throwing [delete]Time 2021-05-29T15:24:15.865
User Name: [huy@gmail.com]After save run delete Time 2021-05-29T15:24:15.866
After Throwing [delete]Time 2021-05-29T15:24:25.157
User Name: [huy@gmail.com]After save run delete Time 2021-05-29T15:24:25.158
